time,delta_theta_avg
3.284000000000e0,6.415675584184e-4
3.284100000000e0,6.418676722740e-4
3.284200000000e0,6.421674412093e-4
3.284300000000e0,6.424668644140e-4
3.284400000000e0,6.427659410786e-4
3.284500000000e0,6.430646703973e-4
3.284600000000e0,6.433630515628e-4
3.284700000000e0,6.436610837707e-4
3.284800000000e0,6.439587662173e-4
3.284900000000e0,6.442560980996e-4
3.285000000000e0,6.445530786180e-4
3.285100000000e0,6.448497069719e-4
3.285200000000e0,6.451459823635e-4
3.285300000000e0,6.454419039957e-4
3.285400000000e0,6.457374710733e-4
3.285500000000e0,6.460326828021e-4
3.285600000000e0,6.463275383892e-4
3.285700000000e0,6.466220370440e-4
3.285800000000e0,6.469161779756e-4
3.285900000000e0,6.472099603949e-4
3.286000000000e0,6.475033835168e-4
3.286100000000e0,6.477964465538e-4
3.286200000000e0,6.480891487226e-4
3.286300000000e0,6.483814892390e-4
3.286400000000e0,6.486734673229e-4
3.286500000000e0,6.489650821944e-4
3.286600000000e0,6.492563330736e-4
3.286700000000e0,6.495472191846e-4
3.286800000000e0,6.498377397507e-4
3.286900000000e0,6.501278939988e-4
3.287000000000e0,6.504176811555e-4
3.287100000000e0,6.507071004508e-4
3.287200000000e0,6.509961511135e-4
3.287300000000e0,6.512848323760e-4
3.287400000000e0,6.515731434724e-4
3.287500000000e0,6.518610836377e-4
3.287600000000e0,6.521486521077e-4
3.287700000000e0,6.524358481202e-4
3.287800000000e0,6.527226709162e-4
3.287900000000e0,6.530091197363e-4
3.288000000000e0,6.532951938237e-4
3.288100000000e0,6.535808924222e-4
3.288200000000e0,6.538662147764e-4
3.288300000000e0,6.541511601351e-4
3.288400000000e0,6.544357277479e-4
3.288500000000e0,6.547199168649e-4
3.288600000000e0,6.550037267380e-4
3.288700000000e0,6.552871566219e-4
3.288800000000e0,6.555702057716e-4
3.288900000000e0,6.558528734439e-4
3.289000000000e0,6.561351588986e-4
3.289100000000e0,6.564170613955e-4
3.289200000000e0,6.566985801971e-4
3.289300000000e0,6.569797145692e-4
3.289400000000e0,6.572604637740e-4
3.289500000000e0,6.575408270814e-4
3.289600000000e0,6.578208037587e-4
3.289700000000e0,6.581003930763e-4
3.289800000000e0,6.583795943079e-4
3.289900000000e0,6.586584067278e-4
3.290000000000e0,6.589368296111e-4
3.290100000000e0,6.592148622363e-4
3.290200000000e0,6.594925038817e-4
3.290300000000e0,6.597697538291e-4
3.290400000000e0,6.600466113598e-4
3.290500000000e0,6.603230757596e-4
3.290600000000e0,6.605991463136e-4
3.290700000000e0,6.608748223116e-4
3.290800000000e0,6.611501030434e-4
3.290900000000e0,6.614249878003e-4
3.291000000000e0,6.616994758760e-4
3.291100000000e0,6.619735665648e-4
3.291200000000e0,6.622472591652e-4
3.291300000000e0,6.625205529757e-4
3.291400000000e0,6.627934472971e-4
3.291500000000e0,6.630659414328e-4
3.291600000000e0,6.633380346853e-4
3.291700000000e0,6.636097263633e-4
3.291800000000e0,6.638810157746e-4
3.291900000000e0,6.641519022288e-4
3.292000000000e0,6.644223850379e-4
3.292100000000e0,6.646924635164e-4
3.292200000000e0,6.649621369789e-4
3.292300000000e0,6.652314047440e-4
3.292400000000e0,6.655002661314e-4
3.292500000000e0,6.657687204624e-4
3.292600000000e0,6.660367670607e-4
3.292700000000e0,6.663044052519e-4
3.292800000000e0,6.665716343630e-4
3.292900000000e0,6.668384537236e-4
3.293000000000e0,6.671048626642e-4
3.293100000000e0,6.673708605175e-4
3.293200000000e0,6.676364466203e-4
3.293300000000e0,6.679016203092e-4
3.293400000000e0,6.681663809230e-4
3.293500000000e0,6.684307278040e-4
3.293600000000e0,6.686946602944e-4
3.293700000000e0,6.689581777395e-4
3.293800000000e0,6.692212794862e-4
3.293900000000e0,6.694839648844e-4
3.294000000000e0,6.697462332849e-4
3.294100000000e0,6.700080840400e-4
3.294200000000e0,6.702695165069e-4
